Date,Country,Product,Units Sold,Revenue,Cost,Profit
43862,India,Chocolate Chip,292,1460,584,876
43983,India,Chocolate Chip,2518,12590,5036,7554
44166,India,Chocolate Chip,1817,9085,3634,5451
43862,India,Chocolate Chip,2363,11815,4726,7089
44105,India,Chocolate Chip,1295,6475,2590,3885
44166,India,Chocolate Chip,1916,9580,3832,5748
44166,India,Chocolate Chip,2852,14260,5704,8556
44166,India,Chocolate Chip,2729,13645,5458,8187
43891,India,Chocolate Chip,1774,8870,3548,5322
44105,India,Chocolate Chip,2009,10045,4018,6027
43831,India,Chocolate Chip,4251,21255,8502,12753
44075,India,Chocolate Chip,218,1090,436,654
44075,India,Chocolate Chip,2074,10370,4148,6222
44166,India,Chocolate Chip,2431,12155,4862,7293
43952,India,Chocolate Chip,1702,8510,3404,5106
43952,India,Chocolate Chip,257,1285,514,771
43983,India,Chocolate Chip,1094,5470,2188,3282
43831,India,Chocolate Chip,873,4365,1746,2619
44013,India,Chocolate Chip,2105,10525,4210,6315
44013,India,Chocolate Chip,4026,20130,8052,12078
44044,India,Chocolate Chip,2394,11970,4788,7182
44136,India,Chocolate Chip,1366,6830,2732,4098
43983,India,Chocolate Chip,2632,13160,5264,7896
43983,India,Chocolate Chip,1583,7915,3166,4749
44105,India,Chocolate Chip,1565,7825,3130,4695
44105,India,Chocolate Chip,1249,6245,2498,3747
43891,India,Chocolate Chip,2428,12140,4856,7284
44136,India,Chocolate Chip,700,3500,1400,2100
43922,India,Chocolate Chip,1614,8070,3228,4842
44044,India,Chocolate Chip,2559,12795,5118,7677
43922,India,Chocolate Chip,723,3615,1446,2169
43983,India,Fortune Cookie,2518,2518,503.6,2014.4
44013,India,Fortune Cookie,2666,2666,533.2,2132.8
44044,India,Fortune Cookie,1830,1830,366,1464
43891,India,Fortune Cookie,1967,1967,393.4,1573.6
43862,India,Fortune Cookie,488,488,97.6,390.4
43983,India,Fortune Cookie,708,708,141.6,566.4
43922,India,Fortune Cookie,3803,3803,760.6,3042.4
44136,India,Fortune Cookie,2321,2321,464.2,1856.8
44105,India,Fortune Cookie,2734,2734,546.8,2187.2
44105,India,Fortune Cookie,1249,1249,249.8,999.2
43831,India,Fortune Cookie,2228,2228,445.6,1782.4
43952,India,Fortune Cookie,200,200,40,160
44075,India,Fortune Cookie,388,388,77.6,310.4
44166,India,Fortune Cookie,2300,2300,460,1840
44166,India,Oatmeal Raisin,1916,9580,4215.2,5364.8
44044,India,Oatmeal Raisin,552,2760,1214.4,1545.6
43983,India,Oatmeal Raisin,1135,5675,2497,3178
43952,India,Oatmeal Raisin,1645,8225,3619,4606
44136,India,Oatmeal Raisin,1118,5590,2459.6,3130.4
43983,India,Oatmeal Raisin,708,3540,1557.6,1982.4
44105,India,Oatmeal Raisin,1269,6345,2791.8,3553.2
44013,India,Oatmeal Raisin,1631,8155,3588.2,4566.8
43862,India,Oatmeal Raisin,2240,11200,4928,6272
43922,India,Oatmeal Raisin,3521,17605,7746.2,9858.8
44075,India,Oatmeal Raisin,707,3535,1555.4,1979.6
44105,India,Oatmeal Raisin,2734,13670,6014.8,7655.2
43831,India,Oatmeal Raisin,1659,8295,3649.8,4645.2
43891,India,Oatmeal Raisin,888,4440,1953.6,2486.4
43831,India,Snickerdoodle,1619,6476,2428.5,4047.5
44075,India,Snickerdoodle,1445,5780,2167.5,3612.5
43922,India,Snickerdoodle,743,2972,1114.5,1857.5
44105,India,Snickerdoodle,1295,5180,1942.5,3237.5
44166,India,Snickerdoodle,2852,11408,4278,7130
43952,India,Snickerdoodle,831,3324,1246.5,2077.5
43983,India,Snickerdoodle,2844,11376,4266,7110
44044,India,Snickerdoodle,1884,7536,2826,4710
43983,India,Snickerdoodle,1094,4376,1641,2735
44013,India,Snickerdoodle,819,3276,1228.5,2047.5
43862,India,Snickerdoodle,1937,7748,2905.5,4842.5
44136,India,Snickerdoodle,2689,10756,4033.5,6722.5
43891,India,Snickerdoodle,923,3692,1384.5,2307.5
44105,India,Snickerdoodle,1496,5984,2244,3740
44166,India,Snickerdoodle,2300,9200,3450,5750
43862,India,Sugar,2001,6003,2501.25,3501.75
44166,India,Sugar,1817,5451,2271.25,3179.75
43891,India,Sugar,1326,3978,1657.5,2320.5
43922,India,Sugar,944,2832,1180,1652
44166,India,Sugar,2729,8187,3411.25,4775.75
44044,India,Sugar,1874,5622,2342.5,3279.5
43983,India,Sugar,2844,8532,3555,4977
44166,India,Sugar,1582,4746,1977.5,2768.5
43831,India,Sugar,3245,9735,4056.25,5678.75
44075,India,Sugar,2134,6402,2667.5,3734.5
44136,India,Sugar,2529,7587,3161.25,4425.75
43952,India,Sugar,2109,6327,2636.25,3690.75
43983,India,Sugar,1583,4749,1978.75,2770.25
44105,India,Sugar,1565,4695,1956.25,2738.75
44105,India,Sugar,1496,4488,1870,2618
44013,India,Sugar,866,2598,1082.5,1515.5
44044,India,White Chocolate Macadamia Nut,923,5538,2538.25,2999.75
44105,India,White Chocolate Macadamia Nut,2009,12054,5524.75,6529.25
43922,India,White Chocolate Macadamia Nut,3851,23106,10590.25,12515.75
44166,India,White Chocolate Macadamia Nut,2431,14586,6685.25,7900.75
43862,India,White Chocolate Macadamia Nut,952,5712,2618,3094
43952,India,White Chocolate Macadamia Nut,1262,7572,3470.5,4101.5
